REPORTER	DATE	JOURNAL	LIEU	PAYS	LATITUDE	LONGITUDE	TITRE	URL
Ludovic Naudeau	1904-01-27	Le Journal	Dalian	Chine	38.920168	121.608971	Le Journal en Mandchourie	https://www.retronews.fr/journal/le-journal/27-janvier-1904/129/223695/1
Ludovic Naudeau	1904-01-24	Le Journal	Harbin	Chine	45.804572	126.530494	Le Journal en Mandchourie	https://www.retronews.fr/journal/le-journal/24-janvier-1904/129/277657/1
Ludovic Naudeau	1905-03-30	Le Journal	Kobé	japon	34.706720	135.189327	Ludovic Naudeau en liberté	https://www.retronews.fr/journal/le-journal/30-mars-1905/129/251057/1
Ludovic Naudeau	1904-02-03	Le Journal	Lüshunkou	Chine	38.851834	121.243239	Le Journal en Mandchourie	https://www.retronews.fr/journal/le-journal/3-fevrier-1904/129/245823/1
Ludovic Naudeau	1905-01-16	Le Journal	Shenyang	Chine	41.805329	123.417272	Pour les pauvres gens de Mandchourie	https://www.retronews.fr/journal/le-journal/16-janvier-1905/129/111079/1
Ludovic Naudeau	1905-03-16	Le Journal	Shenyang	Chine	41.805330	123.417273	Prisonnier des Japonais	https://www.retronews.fr/journal/le-journal/6-mars-1905/129/240755/1
Ludovic Naudeau	1905-04-22	Le Journal	Tokyo	japon	35.745856	139.731006	L'incident franco-japonais	https://www.retronews.fr/journal/le-journal/22-avril-1905/129/227557/1
Ludovic Naudeau	1905-12-28	Le Journal	Tokyo	Japon	35.745856	139.731006	Un écho de la révolution russe	https://www.retronews.fr/journal/le-journal/28-decembre-1905/129/240725/1
