REPORTER	DATE	JOURNAL	LIEU	PAYS	LATITUDE	LONGITUDE	TITRE	URL
Jean et Jérôme Tharaud	1932-04-09	Paris-Soir	Munich	Allemagne	48.12994204	11.57499345		https://www.retronews.fr/journal/paris-soir/09-avril-1932/131/101921/1
Jean et Jérôme Tharaud	1920-10-03	Le Figaro	Ouezzan	Maroc	34.81034161	-5.570006553		https://www.retronews.fr/journal/le-figaro-1854/03-octobre-1920/104/569681/1
Jean et Jérôme Tharaud	1908-12-21	L'Echo de Paris	Paris, 1er arrondissement	France	48.8532	2.287900000000036		https://www.retronews.fr/journal/l-echo-de-paris/21-decembre-1908/120/602549/1
Jean et Jérôme Tharaud	1932-04-25	Paris-Soir	Prague	Tchécoslovaquie	50.08333701	14.46597978		https://www.retronews.fr/journal/paris-soir/25-avril-1932/131/113269/1
Jean et Jérôme Tharaud	1937-02-21	L'intransigeant	Prague	Tchécoslovaquie	50.08333701	14.46597978		https://www.retronews.fr/journal/l-intransigeant/21-fevrier-1937/44/943411/5
Jean et Jérôme Tharaud	1937-02-22	L'intransigeant	Prague	Tchécoslovaquie	50.08333701	14.46597978		https://www.retronews.fr/journal/l-intransigeant/22-fevrier-1937/44/943401/1
Jean et Jérôme Tharaud	1937-10-16	Paris-Soir	Prague	Tchécoslovaquie	50.08333701	14.46597978		https://www.retronews.fr/journal/paris-soir/16-octobre-1937/131/102345/4
Jean et Jérôme Tharaud	1904-04-26	Le Soleil	Rome	Italie	41.89595563	12.48325842		https://www.retronews.fr/journal/le-soleil/26-avril-1904/661/1834439/1
Jean et Jérôme Tharaud	1904-05-04	Le Soleil	Rome	Italie	41.89595563	12.48325842		https://www.retronews.fr/journal/le-soleil/04-mai-1904/661/1819445/1
Jean et Jérôme Tharaud	1933-03-19	Paris-Soir	Rome	Italie	41.89595563	12.48325842		https://www.retronews.fr/journal/paris-soir/19-mars-1933/131/97461/1
Jean et Jérôme Tharaud	1933-03-20	Paris-Soir	Rome	Italie	41.89595563	12.48325842		https://www.retronews.fr/journal/paris-soir/20-mars-1933/131/100429/1
Jean et Jérôme Tharaud	1933-03-21	Paris-Soir	Rome	Italie	41.89595563	12.48325842		https://www.retronews.fr/journal/paris-soir/21-mars-1933/131/1192975/1
Jean et Jérôme Tharaud	1936-01-31	Paris-Soir	Rome	Italie	41.89595563	12.48325842		https://www.retronews.fr/journal/paris-soir/31-janvier-1936/131/98113/1
Jean et Jérôme Tharaud	1936-02-01	Paris-Soir	Rome	Italie	41.89595563	12.48325842		https://www.retronews.fr/journal/paris-soir/01-fevrier-1936/131/102617/1
Jean et Jérôme Tharaud	1936-02-02	Paris-Soir	Rome	Italie	41.89595563	12.48325842		https://www.retronews.fr/journal/paris-soir/02-fevrier-1936/131/113111/5
Jean et Jérôme Tharaud	1936-02-04	Paris-Soir	Rome	Italie	41.89595563	12.48325842		https://www.retronews.fr/journal/paris-soir/04-fevrier-1936/131/105589/1
Jean et Jérôme Tharaud	1936-02-05	Paris-Soir	Rome	Italie	41.89595563	12.48325842		https://www.retronews.fr/journal/paris-soir/05-fevrier-1936/131/106625/1
Jean et Jérôme Tharaud	1938-10-27	Paris-Soir	Rome	Italie	41.89595563	12.48325842		https://www.retronews.fr/journal/paris-soir/27-octobre-1938/131/100671/1
Jean et Jérôme Tharaud	1938-10-28	Paris-Soir	Rome	Italie	41.89595563	12.48325842		https://www.retronews.fr/journal/paris-soir/28-octobre-1938/131/120089/7
Jean et Jérôme Tharaud	1938-10-22	Paris-Soir	Rome/Vatican	Italie	41.89595563	12.48325842		https://www.retronews.fr/journal/paris-soir/22-octobre-1938/131/112719/1
Jean et Jérôme Tharaud	1938-10-23	Paris-Soir	Rome/Vatican	Italie	41.89595563	12.48325842		https://www.retronews.fr/journal/paris-soir/23-octobre-1938/131/100675/7
Jean et Jérôme Tharaud	1924-06-08	L'Echo de Paris	Saint-Junien	France	45.88716	0.901165		https://www.retronews.fr/journal/l-echo-de-paris/08-juin-1924/120/593771/1
Jean et Jérôme Tharaud	1921-03-18	Le Figaro	Schafberg	Suisse	47.2167	9.35		https://www.retronews.fr/journal/le-figaro-1854/18-mars-1921/104/620591/1
Jean et Jérôme Tharaud	1925-04-17	Le Siècle	Séville	Espagne	37.3890924	-5.984458899999936		https://www.retronews.fr/journal/le-siecle/17-avril-1925/93/579677/1
Jean et Jérôme Tharaud	1935-01-31	Paris-Soir	Sousse	Tunisie	35.82999514	10.62502559		https://www.retronews.fr/journal/paris-soir/31-janvier-1935/131/97137/5
Jean et Jérôme Tharaud	1920-11-18	Le Figaro	Strasbourg	France	48.57996625	7.750007282		https://www.retronews.fr/journal/le-figaro-1854/18-novembre-1920/104/542565/1
Jean et Jérôme Tharaud	1939-10-17	Paris-Soir	Strasbourg	France	48.57996625	7.750007282		https://www.retronews.fr/journal/paris-soir/17-octobre-1939/131/103169/2
Jean et Jérôme Tharaud	1935-03-03	Paris-Soir	Tunis	Tunisie	36.80277814	10.1796781		https://www.retronews.fr/journal/paris-soir/03-mars-1935/131/113143/5
Jean et Jérôme Tharaud	1935-03-05	Paris-Soir	Tunis	Tunisie	36.80277814	10.1796781		https://www.retronews.fr/journal/paris-soir/05-mars-1935/131/113141/5
Jean et Jérôme Tharaud	1935-03-06	Paris-Soir	Tunis	Tunisie	36.80277814	10.1796781		https://www.retronews.fr/journal/paris-soir/06-mars-1935/131/96207/5
Jean et Jérôme Tharaud	1935-06-25	Paris-Soir	Vannes	France	47.66667	-2.75		https://www.retronews.fr/journal/paris-soir/25-juin-1935/131/101849/1
Jean et Jérôme Tharaud	1935-06-26	Paris-Soir	Vannes	France	47.66667	-2.75		https://www.retronews.fr/journal/paris-soir/26-juin-1935/131/101847/1
Jean et Jérôme Tharaud	1935-06-27	Paris-Soir	Vannes	France	47.66667	-2.75		https://www.retronews.fr/journal/paris-soir/27-juin-1935/131/102649/1
Jean et Jérôme Tharaud	1935-06-28	Paris-Soir	Vannes	France	47.66667	-2.75		https://www.retronews.fr/journal/paris-soir/28-juin-1935/131/96215/1
Jean et Jérôme Tharaud	1935-06-30	Paris-Soir	Vannes	France	47.66667	-2.75		https://www.retronews.fr/journal/paris-soir/30-juin-1935/131/113151/1
Jean et Jérôme Tharaud	1935-07-03	Paris-Soir	Vannes	France	47.66667	-2.75		https://www.retronews.fr/journal/paris-soir/03-juillet-1935/131/108055/1
Jean et Jérôme Tharaud	1932-04-18	Paris-Soir	Varsovie	Pologne	52.25000063	20.99999955		https://www.retronews.fr/journal/paris-soir/18-avril-1932/131/100227/1
Jean et Jérôme Tharaud	1937-05-14	Paris-Soir	Varsovie	Pologne	52.25000063	20.99999955		https://www.retronews.fr/journal/l-intransigeant/14-mai-1937/44/943315/1
Jean et Jérôme Tharaud	1937-10-13	Paris-Soir	Varsovie	Pologne	52.25000063	20.99999955		https://www.retronews.fr/journal/paris-soir/13-octobre-1937/131/96005/4
Jean et Jérôme Tharaud	1920-09-05	Le Figaro	Vienne	Autriche	48.2081743	16.37381890000006		https://www.retronews.fr/journal/le-figaro-1854/05-septembre-1920/104/569643/1
Jean et Jérôme Tharaud	1932-04-28	Paris-Soir	Vienne	Autriche	48.2081743	16.37381890000006		https://www.retronews.fr/journal/paris-soir/28-avril-1932/131/120341/1
Jean et Jérôme Tharaud	1932-04-22	Paris-Soir	Wilno	Lituanie	54.687156	25.279651		https://www.retronews.fr/journal/paris-soir/22-avril-1932/131/99197/1
