REPORTER	DATE	JOURNAL	LIEU	PAYS	LATITUDE	LONGITUDE	TITRE	URL
Alexis Danan	1926-11-16	L'intransigeant	Paris	France	48.856614	2.3522219	Un petit garçon est mort..	https://www.retronews.fr/journal/l-intransigeant/16-novembre-1926/44/923083/1
Alexis Danan	1927-02-02	Paris-Soir	Paris	France	48.856614	2.3522219	La crise de chômage est dès à présent très sérieuse	https://www.retronews.fr/journal/paris-soir/2-fevrier-1927/131/101553/1
Alexis Danan	1927-09-24	Paris-Soir	Paris	France	48.856614	2.3522219	Demain : on fera rendre gorge aux lotisseurs coupables. Aujourd'hui : il faut venir en aide aux 'mal lotis' dupés	https://www.retronews.fr/journal/paris-soir/24-septembre-1927/131/106065/1
Alexis Danan	1928-05-02	Paris-Soir	Paris	France	48.856614	2.3522219	Autour des berceaux sans joie	https://www.retronews.fr/journal/paris-soir/2-mai-1928/131/99051/1
Alexis Danan	1928-07-27	Paris-Soir	Buchs	Suisse	47.458087	8.437866	Une semaine parmi les hommes de bonne volonté. Les chantiers de Babel. I. Un petit pays, au coeur de l'Europe vivait, candide et sans soldats…	https://www.retronews.fr/journal/paris-soir/27-jul-1928/131/99579/1
Alexis Danan	1928-07-28	Paris-Soir	Schaan	Liechtenstein	47.16634	9.510312	Une semaine parmi les hommes de bonne volonté. Les chantiers de Babel. II. Tout le monde sur la digue	https://www.retronews.fr/journal/paris-soir/28-jul-1928/131/96651/1
Alexis Danan	1928-07-29	Paris-Soir	Schaan	Liechtenstein	47.16634	9.510312	Une semaine parmi les hommes de bonne volonté. Les chantiers de Babel. III. 'Voici nos bras gratuits'	https://www.retronews.fr/journal/paris-soir/29-jul-1928/131/105113/1
Alexis Danan	1928-07-30	Paris-Soir	Schaan	Liechtenstein	47.16634	9.510312	Une semaine parmi les hommes de bonne volonté. Les chantiers de Babel. IV. Un essai ? Non pas : une suite	https://www.retronews.fr/journal/paris-soir/30-jul-1928/131/106127/1
Alexis Danan	1928-07-31	Paris-Soir	Schaan	Liechtenstein	47.16634	9.510312	Une semaine parmi les hommes de bonne volonté. Les chantiers de Babel. V. Sur le péristyle du Vereinshaus	https://www.retronews.fr/journal/paris-soir/31-jul-1928/131/107131/1
Alexis Danan	1928-08-01	Paris-Soir	Schaan	Liechtenstein	47.16634	9.510312	Une semaine parmi les hommes de bonne volonté. Les chantiers de Babel. VI. Le salut aux nouveaux	https://www.retronews.fr/journal/paris-soir/01-aug-1928/131/100583/1
Alexis Danan	1928-08-02	Paris-Soir	Schaan	Liechtenstein	47.16634	9.510312	Une semaine parmi les hommes de bonne volonté. Les chantiers de Babel. VII. Otto Weiss et quelques autres	https://www.retronews.fr/journal/paris-soir/02-aug-1928/131/103105/1
Alexis Danan	1928-08-03	Paris-Soir	Schaan	Liechtenstein	47.16634	9.510312	Une semaine parmi les hommes de bonne volonté. Les chantiers de Babel. VIII. Mainguart et quelques autres	https://www.retronews.fr/journal/paris-soir/03-aug-1928/131/96645/1
Alexis Danan	1928-08-05	Paris-Soir	Gamprin	Liechtenstein	47.219094	9.510248	Une semaine parmi les hommes de bonne volonté. Les chantiers de Babel. IX. La discipline étant la force principale des armées	https://www.retronews.fr/journal/paris-soir/05-aug-1928/131/112627/1
Alexis Danan	1928-08-07	Paris-Soir	Schaan	Liechtenstein	47.16634	9.510312	Une semaine parmi les hommes de bonne volonté. Les chantiers de Babel. XI. La détente autour des chopes	https://www.retronews.fr/journal/paris-soir/07-aug-1928/131/105111/1
Alexis Danan	1928-08-08	Paris-Soir	Buchs	Suisse	47.458087	8.437866	Une semaine parmi les hommes de bonne volonté. Aux chantiers de Babel	https://www.retronews.fr/journal/paris-soir/08-aug-1928/131/106125/1
Alexis Danan	1929-02-19	Paris-Soir	Paris (prison de la petite Roquette)	France	48.859184	2.385274	La grande pitié des Enfants anormaux. I. Le crime d'être né	https://www.retronews.fr/journal/paris-soir/19-feb-1929/131/105537/1
Alexis Danan	1929-02-20	Paris-Soir	Épinay-sur-Orge (asile de Perray - Vaucluse)	France	48.660528	2.309104	La grande pitié des Enfants anormaux. II. La trahison des pères	https://www.retronews.fr/journal/paris-soir/20-feb-1929/131/101801/1
