REPORTER	DATE	JOURNAL	LIEU	PAYS	LATITUDE	LONGITUDE	TITRE	URL
Francis Carco	1929-03-18	Paris-Soir	Cadix	Espagne	36.5270612	-6.288596200000029	Nuit à Cadix	https://www.retronews.fr/journal/paris-soir/18-mars-1929/131/102571/1
Francis Carco	1929-06-09	Paris-Soir	Madrid	Espagne	40.40002626	-3.683351686	Bravo, toro	https://www.retronews.fr/journal/paris-soir/09-juin-1929/131/99011/1
Francis Carco	1923-10-25	Paris-Soir	Paris	France	48.86669293	2.333335326	Panam	https://www.retronews.fr/journal/paris-soir/25-octobre-1923/131/105067/1
Francis Carco	1929-04-12	L'intransigeant	Seville	Espagne	37.40501528	-5.980007366	Avec Carco à Seville	https://www.retronews.fr/journal/l-intransigeant/12-avril-1929/44/908297/1
