REPORTER	NOM	PRENOM	ALIAS	DATE_PUBL	DATE_REP	JOURNAL	LIEU	PAYS	LATITUDE	LONGITUDE	TITRE	QUALIFICATION	GENRE	URL	SAISIE_NOM	SAISIE_DATE	VERIFICATION	REMARQUES
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-01-04	n.i.	Le Matin	Angora (auj. Ankara)	Turquie	39.9207456	32.8540905	On parle français en nouvelle Turquie mais on y cherche en vain des Français	Aucune	Analyse	https://www.retronews.fr/journal/le-matin/04-janvier-1925/66/170171/1	Mathilde Carnet	2018-01-11	GB	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-01-22	n.i.	L’intransigeant	n.i.	n.i.	n.i.	n.i.	LES CONTES DE « L’INTRANSIGEANT » Contes de fées	Aucune	Feuilleton	https://www.retronews.fr/journal/l-intransigeant/22-janvier-1925/44/922753/4	Gilles Bastin	2023-11-19	Gilles Bastin	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-02-15	1925-02-07	L’intransigeant	Rabat	Maroc	34.022405	-6.834543	Une interview de S.M.Moulay Youssef sultan du Maroc	De notre envoyé spécial	Interview	https://www.retronews.fr/journal/l-intransigeant/15-fevrier-1925/44/906855/1	Mathilde Carnet	2018-01-11	GB	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-03-04	1925-02	L’intransigeant	Tunis	Tunisie	36.8027	10.1796	NOTRE ENQUÊTE EN AFRIQUE Sous le soleil de Tunis je cherche à savoir… En causant avec un colon, un officiel, un vieux et un jeune Tunisiens	De notre envoyé spécial	Reportage	https://www.retronews.fr/journal/l-intransigeant/04-mars-1925/44/922621/1	Mathilde Carnet	2018-01-11	GB	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-03-13	n.i.	L’intransigeant	n.i.	n.i.	n.i.	n.i.	MOSSOUL Les Kurdes se battent, mais pour qui ? 	Aucune	Analyse	https://www.retronews.fr/journal/l-intransigeant/13-mars-1925/44/922665/1	Mathilde Carnet	2018-01-11	GB	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-03-26	n.i.	Le Figaro	n.i.	n.i.	n.i.	n.i.	À travers les Soukhs d’Islam CHOSES VUES	Aucune	Analyse	https://www.retronews.fr/journal/le-figaro-1854-/26-mars-1925/104/622379/4	Gilles Bastin	2023-11-19	Gilles Bastin	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-03-27	n.i.	L’intransigeant	n.i.	n.i.	n.i.	n.i.	LA FRANCE PRÉPARE Des réformes en Tunisie	Aucune	Analyse	https://www.retronews.fr/journal/l-intransigeant/27-mars-1925/44/922675/3	Gilles Bastin	2023-11-19	Gilles Bastin	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-04-07	1925-04	L’intransigeant	Prague	Tchécoslovaquie (République tchèque)	50.0874654	14.4212535	C'est l'exposition ! Trop de Français l'ont oublié..	Par TITAYNA / De notre envoyé spécial	Reportage	https://www.retronews.fr/journal/l-intransigeant/07-avril-1925/44/922711/1	Mathilde Carnet	2018-01-11	GB	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-04-08	1925-04-05	L’intransigeant	Prague	Tchécoslovaquie (République tchèque)	50.0874654	14.4212535	EN TCHECOSLOVAQUIE Un fait étrange. Russes 'rouges' et Russes 'blancs' unis au nom de la Sciences par l'argent tchéco-slovaque	De notre envoyé spécial	Reportage	https://www.retronews.fr/journal/l-intransigeant/08-avril-1925/44/922729/1	Mathilde Carnet	2018-01-11	GB	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-04-09	1925-04-07	L’intransigeant	Cracovie	Pologne	50.0619474	19.9368564	VERS LA POLOGNE En survolant l’Europe du centre	De notre envoyé spécial	Reportage	https://www.retronews.fr/journal/l-intransigeant/09-avril-1925/44/906543/1	Mathilde Carnet	2018-01-11	GB	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-04-12	1925-04	L’intransigeant	Cracovie	Pologne	50.0619474	19.9368564	EN POLOGNE Le juif du peuple dans la tombe du ghetto	De notre envoyé spécial	Reportage	https://www.retronews.fr/journal/l-intransigeant/12-avril-1925/44/906595/1	Mathilde Carnet	2018-01-11	GB	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-04-13	1925-04	L’intransigeant	Katovice	Tchécoslovaquie	50.2598987	19.0215852	LES GRANDES ENQUÊTES DE « L’INTRANSIGEANT » La Haute-Silésie ? Un foyer dangereux qui couve en pleine Europe	De notre envoyé spécial	Reportage	https://www.retronews.fr/journal/l-intransigeant/13-avril-1925/44/906523/2	Mathilde Carnet	2018-01-11	GB	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-04-14	1925-04	L’intransigeant	Wieliczka	Pologne	49.9823773	20.0602114	« L’INTRANSIGEANT » EN POLOGNE Dans la cité du sel...	Par TITAYNA / De notre envoyé spécial	Reportage	https://www.retronews.fr/journal/l-intransigeant/14-avril-1925/44/906597/1	Mathilde Carnet	2018-01-11	GB	
