REPORTER	DATE	JOURNAL	LIEU	PAYS	LATITUDE	LONGITUDE	TITRE	URL
Louis Roubaud	1935-02-10	Le Petit Parisien	Paris	France	48.86669295	2.333335328	Police et sûreté	https://www.retronews.fr/journal/le-petit-parisien/10-fevrier-1935/2/61688/1
Louis Roubaud	1935-02-27	Le Petit Parisien	Paris	France	48.86669296	2.333335329	Police et sûreté	https://www.retronews.fr/journal/le-petit-parisien/27-fevrier-1935/2/61654/1
Louis Roubaud	1935-03-01	Le Petit Parisien	Paris	France	48.86669297	2.333335330	Police et sûreté	https://www.retronews.fr/journal/le-petit-parisien/1-mars-1935/2/61650/1
Louis Roubaud	1935-03-09	Le Petit Parisien	Paris	France	48.86669298	2.333335331	Police et sûreté	https://www.retronews.fr/journal/le-petit-parisien/9-mars-1935/2/61634/1
Louis Roubaud	1935-06-09	Le Petit Parisien	Prague	Tchécoslovaquie	50.075538	14.4378	Que veut le fuhrer de Sudètes ?	https://www.retronews.fr/journal/le-petit-parisien/9-juin-1935/2/61454/1
Louis Roubaud	1935-06-10	Le Petit Parisien	Prague	Tchécoslovaquie	50.075539	14.4379	Comment Hitler engendra Heinlen	https://www.retronews.fr/journal/le-petit-parisien/10-juin-1935/2/61452/1
Louis Roubaud	1935-06-14	Le Petit Parisien	Prague	Tchécoslovaquie	50.075540	14.4380	La minorité allemande en Bohème	https://www.retronews.fr/journal/le-petit-parisien/14-juin-1935/2/61442/1
Louis Roubaud	1935-06-17	Le Petit Parisien	Prague	Tchécoslovaquie	50.075541	14.4381	Un entretien d'une heure avec M. Malypetr	https://www.retronews.fr/journal/le-petit-parisien/17-juin-1935/2/61438/1
Louis Roubaud	1936-05-20	Le Petit Parisien	Rome	Italie	41.902784	12.496366	Le maintien des sanctions	https://www.retronews.fr/journal/le-petit-parisien/20-mai-1936/2/60768/1
Louis Roubaud	1935-08-07	Le Petit Parisien	Rotterdam	Pays-Bas	51.92442	4.477733	La Hollande bouleverserait son économie en dévaluant sa monnaie	https://www.retronews.fr/journal/le-petit-parisien/7-aout-1935/2/61338/1
Louis Roubaud	1927-04-17	Le Petit Parisien	Shanghai	Chine	31.2303904	121.47370209999997	Semaine Sainte à Changhai	https://www.retronews.fr/journal/le-petit-parisien/17-avril-1927/2/51506/1
